RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Fruit chutney - undeclared mustard in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14784/sainsburys-mango-chutney-recalled,2016-01-06
2,After Dinner Mints - undeclared milk in product. ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14787/mints-withdrawn-by-poundland-dueto-milk,2016-01-08
3,Chicken breasts with spicy sauce - undeclared milk and wheat in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14816/sainsbury-s-just-cook-chicken-breasts-with-piri-piri-sauce-recalled-due-to-the-possible-presence-of-undeclared-milk-and-wheat,2016-01-21
4,Pickling spice - undeclared mustard seeds in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14838/bart-pickling-spice-recall-mustard,2016-01-28
5,Bread crumbs - ingredients not listed on the product packaging. ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14861/heera-golden-bread-crumbs-withdrawn,2016-02-04
6,Bottles of Port and Madeira - presence of sulphur dioxide in product. ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14862/premium-quality-style-port-and-madeira-withdrawn,2016-02-05
7,Barbecue flavour corn snack - undeclared milk and soya in product.  ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14863/asco-foods-ltd-withdraws-clover-chips-barbecue-flavour-corn-snack-due-to-undeclared-milk,2016-02-05
8,Bottles of IPA beer - undeclared milk in product. ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14865/wiper-and-true-withdraws-its-bottles-of-citrus-and-sevens-beer,2016-02-05
9,Chocolate Meringues - undeclared presence of soya in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14873/hema-recalls-chocolate-meringue,2016-02-11
10,Seeded bread products - undeclared sesame seeds in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14880/boulder-brands-recalls-udis-seeded-products,2016-02-16
11,Various bread products - undeclared sesame seeds (Update 1) in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14883/boulder-brands-uk-asda-tesco-recall-bread-products,2016-02-17
12,Cakes - undeclared milk in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14895/the-nut-house-recalls-tasty-bake-brand-cakes,2016-02-19
13,Chocolate and Beetroot Cake - undeclared walnuts in product. ,Withdrawn.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14896/asda-withdraws-extra-special-chocolate-and-beetroot-cake,2016-02-19
14,Swiss Rolls - undeclared milk in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14916/delicontinental-swiss-rolls-recall,2016-02-25
15,"Energy Bar Superberry - undeclared barley, soya and milk in product. ",Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14945/ssp-golf-ltd-recalls-ssp-performance-golf-energy-bar-superberry-due-to-undeclared-allergens,2016-03-03
16,Chocolate Chip Cookies - undeclared milk in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14950/poundstretcher-withdraws-disney-chocolate-chip-cookies-due-to-undeclared-milk,2016-03-04
17,Chocolate Chip Cookies - undeclared milk. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14996/disney-chocolate-chip-cookies-recalled,2016-03-15
18,Horseradish sauce - presence of sulphur dioxide in product. Recall.,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14988/z-p-h-edmal-recalls-its-crzan-tarty-horseradish-290g-jars,2016-02-11
19,Horseradish sauce - presence of sulphur dioxide in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/15004/edmal-chrzan-tarty-horseradish-recalled-update,2016-03-18
20,Apple and Port Cheese - undeclared mustard and sulphites in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/14987/shorrocks-cheese-has-recalled-its-luxury-apple-and-port-cheese-bombs-because-they-contain-undeclared-mustard-and-sulphites,2016-02-11
21,Easter Butterfly Cakes -undeclared presence of cow?s milk in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/15024/fatherson-bakery-recalls-easter-butterfly-cakes,2016-03-24
22,Basted Turkey Breast Joint - presence of sulphur dioxide in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/15040/heron-foods-recalls-its-basted-turkey-breast-joint,2016-03-30
24,Chips (crisps) Barbecue flavour - undeclared milk in product. ,Recalled.,Possible adverse effects to allergy sufferers.,http://www.food.gov.uk/news-updates/news/2016/15041/leslies-clover-chips-barbecue-flavour-recalled,2016-03-31
